"","dom","prov","fta_median","Temp","Prec","TS","PS","H2","n_palm","n_mammal","f_m","f_p","Connectance"
"1","Boreal Brazilian dominion","Napo province",0.0783514350118812,255,2867.30555555556,172.166666666667,17.1666666666667,0.126987730531892,51,58,0.6872,0.6592,0.15250563569159
"2","Boreal Brazilian dominion","Roraima province",0.0693582679364573,266.864898989899,2245.52777777778,63.8472222222222,51.3472222222222,0.124035208331479,43,46,0.6965,0.6565,0.14716490394424
"3","Boreal Brazilian dominion","Guianan Lowlands province",0.0389919619082054,261.191666666667,2238.30555555556,67.1354166666667,44.8611111111111,NA,40,47,0.699,0.6566,NA
"4","Boreal Brazilian dominion","Pantepui province",0.0539068787818446,251.152777777778,2383.98611111111,58.8888888888889,52.2361111111111,0.157548929232581,34,44,0.6873,0.6623,0.197480045893969
"5","Boreal Brazilian dominion","Imerí province",0.0351901160502366,262.847222222222,2912.95833333333,133.555555555556,28.2638888888889,0.146586366629874,44,43,0.6882,0.6654,0.16675734487129
"6","Boreal Brazilian dominion","Pará province",-0.0185001628448628,267.888888888889,2228.72222222222,27.4166666666667,75.8333333333333,0.177676261008058,21,37,0.704,0.6614,0.253254543650304
"7","Chacoan dominion","Cerrado province",0.180947228146779,241.361111111111,1499.23611111111,4.94444444444444,78.6388888888889,0.195722887888354,14,34,0.6811,0.6492,0.335725914274377
"8","Chacoan dominion","Caatinga province",0.0633697560921294,224.819444444444,706.652777777778,13.1111111111111,64.3055555555556,0.196062352673664,14.5,33.5,0.6899,0.6396,0.444482644249711
"9","Chacoan dominion","Chacoan province",0.0327775652479918,228.791666666667,1263.54166666667,37.1388888888889,45.4722222222222,0.195221588449115,11,31.5,0.6596,0.6504,0.512633914550336
"10","Mesoamerican dominion","Veracruzan province",0.413072348011927,247.814838709677,2206.80555555556,46.9427777777778,59.0555555555556,NA,31.5,32.5,0.6431,0.6451,NA
"11","Mesoamerican dominion","Pacific Lowlands province",0.347620641673495,242.346153846154,1718.65277777778,7.48611111111111,87.5769230769231,NA,21,32.5,0.6385,0.656,NA
"12","Mesoamerican dominion","Mosquito province",0.162447333518976,248.916666666667,2362.33333333333,43.3055555555556,52.5555555555556,NA,31,29,0.6602,0.6566,NA
"13","Mesoamerican dominion","Yucatán Peninsula province",0.0910557934283911,258.819327731092,1176.62301587302,27.8888888888889,64,NA,15,26,0.649,0.6872,NA
"14","Pacific dominion","Cauca province",0.307486334040192,214.75,1931.11111111111,109.305555555556,33.0833333333333,0.14447381643851,50,50,0.6484,0.6446,0.227208023823151
"15","Pacific dominion","Chocó-Darién province",0.294059337346859,252.342857142857,3741.15789473684,189.888888888889,29.8947368421053,NA,55,38,0.6828,0.6378,NA
"16","Pacific dominion","Ecuadorian province",0.29061018068379,201.666666666667,1027.52777777778,11.25,81.8888888888889,0.184009140694127,21,41,0.6312,0.6566,0.426258100191946
"17","Pacific dominion","Guatuso-Talamanca province",0.248315394180706,256.151570048309,2708.77272727273,36.1414141414141,56.9659090909091,NA,63.5,36.5,0.6806,0.6233,NA
"18","Pacific dominion","Puntarenas-Chiriquí province",0.125811511786538,241.017369727047,2850.25806451613,39.1848635235732,62.4385856079404,NA,54,35.5,0.6758,0.6355,NA
"19","Pacific dominion","Western Ecuador province",0.173645535000689,245.157894736842,2009.41013071895,27.3692810457516,88.0555555555556,0.157441702284505,33,33.5,0.6628,0.6502,0.389050663215187
"20","Pacific dominion","Magdalena province",0.165152482512552,237.736111111111,1969.55555555556,53.5,43.0277777777778,NA,34.5,43.5,0.659,0.6628,NA
"21","Pacific dominion","Guajira province",0.0991404916598826,239.061274509804,1362.30555555556,26.7361111111111,55.5555555555556,NA,19.5,39,0.6655,0.679,NA
"22","Pacific dominion","Venezuelan province",0.0229446562926526,243.333333333333,1207.97222222222,14.9722222222222,64.6129032258064,NA,18.5,28.5,0.6787,0.6842,NA
"23","Pacific dominion","Trinidad province",0.0120592234384214,259,2277.66666666667,75,41,NA,18,16,0.6708,0.683,NA
"24","Pacific dominion","Sabana province",-0.0727683367643793,269.097222222222,1712.24305555556,9.84722222222222,70.0555555555556,NA,24,25.5,0.702,0.6778,NA
"25","Parana dominion","Parana Forest province",0.258399595320073,218.541666666667,1250.375,18.0833333333333,72.0555555555556,0.210388212351777,13,40,0.6737,0.6283,0.370512084603355
"26","Parana dominion","Atlantic province",0.0887618434372975,230.553104575163,1231.20833333333,35.8621553884712,49.9044834307992,0.178823447822653,19,41,0.6877,0.6438,0.316935060954376
"27","Parana dominion","Araucaria Forest province",0.0479332406678209,172.75,1473.15277777778,72.5,27.5416666666667,0.229479876015425,11.5,36.5,0.686,0.6531,0.406490648356886
"28","South Brazilian dominion","Yungas province",0.252378237826015,136.013888888889,949.305555555556,16.7083333333333,63.4861111111111,0.150152811211248,36.5,34.5,0.6366,0.6591,0.301213317246569
"29","South Brazilian dominion","Ucayali province",0.141830162103413,251.583333333333,2075.31944444444,91.4444444444444,27.5694444444444,0.111794009682385,52,63.5,0.6679,0.6568,0.149131654661641
"30","South Brazilian dominion","Rondônia province",0.0458252014959368,252.777777777778,1738.77777777778,35.1111111111111,57.75,0.157845123409117,31,48,0.6744,0.6702,0.224402251308788
"31","South Brazilian dominion","Madeira province",0.0778582359657198,260,2321.22222222222,53.8888888888889,49.9444444444444,0.147740104968823,35,48,0.681,0.6618,0.179737503795483
"32","South-eastern Amazonian dominion","Xingu-Tapajós province",-0.0916375511455475,254.777777777778,2017.94444444444,17.3888888888889,67.25,0.174279230475969,21,33,0.7044,0.6756,0.237445589659383
"33",NA,NA,0.35785406490351,201.25,1755.77777777778,34.8888888888889,70.8055555555556,NA,24,36,0.6232,0.6352,NA
